2019-12-06 09:42:52.891| main | INFO |  -  | Bean 'platformTransactionManagerCustomizers' of type [org.springframework.boot.autoconfigure.transaction.TransactionManagerCustomizers] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) | [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330]
2019-12-06 09:42:52.896| main | INFO |  -  | Bean 'org.springframework.boot.autoconfigure.jdbc.metadata.DataSourcePoolMetadataProvidersConfiguration$HikariPoolDataSourceMetadataProviderConfiguration' of type [org.springframework.boot.autoconfigure.jdbc.metadata.DataSourcePoolMetadataProvidersConfiguration$HikariPoolDataSourceMetadataProviderConfiguration$$EnhancerBySpringCGLIB$$1aae9cdf] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) | [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330]
2019-12-06 09:42:52.902| main | INFO |  -  | Bean 'hikariPoolDataSourceMetadataProvider' of type [org.springframework.boot.autoconfigure.jdbc.metadata.DataSourcePoolMetadataProvidersConfiguration$HikariPoolDataSourceMetadataProviderConfiguration$$Lambda$314/1429007847] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) | [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330]
2019-12-06 09:42:52.918| main | INFO |  -  | Bean 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration' of type [org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration$$EnhancerBySpringCGLIB$$d92e376a] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) | [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330]
2019-12-06 09:42:53.622| main | INFO |  -  | {dataSource-1} inited | [com.alibaba.druid.pool.DruidDataSource:1002]
2019-12-06 09:42:53.630| main | INFO |  -  | Bean 'jpaVendorAdapter' of type [org.springframework.orm.jpa.vendor.HibernateJpaVendorAdapter] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) | [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330]
2019-12-06 09:42:53.636| main | INFO |  -  | Bean 'entityManagerFactoryBuilder' of type [org.springframework.boot.orm.jpa.EntityManagerFactoryBuilder] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) | [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330]
2019-12-06 09:42:53.748| main | INFO |  -  | HHH000204: Processing PersistenceUnitInfo [
	name: default
	...] | [org.hibernate.jpa.internal.util.LogHelper:31]
2019-12-06 09:42:54.073| main | INFO |  -  | HHH000412: Hibernate Core {5.3.11.Final} | [org.hibernate.Version:46]
2019-12-06 09:42:54.078| main | INFO |  -  | HHH000206: hibernate.properties not found | [org.hibernate.cfg.Environment:213]
2019-12-06 09:42:54.660| main | INFO |  -  | HCANN000001: Hibernate Commons Annotations {5.0.4.Final} | [org.hibernate.annotations.common.reflection.java.JavaReflectionManager:49]
2019-12-06 09:42:54.792| main | DEBUG |  -  | Adding type registration boolean -> org.hibernate.type.BooleanType@892af0e | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.792| main | DEBUG |  -  | Adding type registration boolean -> org.hibernate.type.BooleanType@892af0e | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.793| main | DEBUG |  -  | Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@892af0e | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.796| main | DEBUG |  -  | Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@ca546a1 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.797| main | DEBUG |  -  | Adding type registration true_false -> org.hibernate.type.TrueFalseType@1187dc82 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.800| main | DEBUG |  -  | Adding type registration yes_no -> org.hibernate.type.YesNoType@11e834ad | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.808| main | DEBUG |  -  | Adding type registration byte -> org.hibernate.type.ByteType@aca2fc3 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.808| main | DEBUG |  -  | Adding type registration byte -> org.hibernate.type.ByteType@aca2fc3 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.809| main | DEBUG |  -  | Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@aca2fc3 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.814| main | DEBUG |  -  | Adding type registration character -> org.hibernate.type.CharacterType@6c6c2a73 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.816| main | DEBUG |  -  | Adding type registration char -> org.hibernate.type.CharacterType@6c6c2a73 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.816| main | DEBUG |  -  | Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@6c6c2a73 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.820| main | DEBUG |  -  | Adding type registration short -> org.hibernate.type.ShortType@3b770d07 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.821| main | DEBUG |  -  | Adding type registration short -> org.hibernate.type.ShortType@3b770d07 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.821| main | DEBUG |  -  | Adding type registration java.lang.Short -> org.hibernate.type.ShortType@3b770d07 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.825| main | DEBUG |  -  | Adding type registration integer -> org.hibernate.type.IntegerType@734fbae3 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.825| main | DEBUG |  -  | Adding type registration int -> org.hibernate.type.IntegerType@734fbae3 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.826| main | DEBUG |  -  | Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@734fbae3 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.828| main | DEBUG |  -  | Adding type registration long -> org.hibernate.type.LongType@68e47e7 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.828| main | DEBUG |  -  | Adding type registration long -> org.hibernate.type.LongType@68e47e7 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.829| main | DEBUG |  -  | Adding type registration java.lang.Long -> org.hibernate.type.LongType@68e47e7 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.834| main | DEBUG |  -  | Adding type registration float -> org.hibernate.type.FloatType@5409dfdd | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.834| main | DEBUG |  -  | Adding type registration float -> org.hibernate.type.FloatType@5409dfdd | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.835| main | DEBUG |  -  | Adding type registration java.lang.Float -> org.hibernate.type.FloatType@5409dfdd | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.839| main | DEBUG |  -  | Adding type registration double -> org.hibernate.type.DoubleType@2262f0d8 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.840| main | DEBUG |  -  | Adding type registration double -> org.hibernate.type.DoubleType@2262f0d8 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.841| main | DEBUG |  -  | Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@2262f0d8 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.844| main | DEBUG |  -  | Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@3b8507df | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.844| main | DEBUG |  -  | Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@3b8507df | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.848| main | DEBUG |  -  | Adding type registration big_integer -> org.hibernate.type.BigIntegerType@7493d937 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.849| main | DEBUG |  -  | Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@7493d937 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.851| main | DEBUG |  -  | Adding type registration string -> org.hibernate.type.StringType@2475fba3 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.851| main | DEBUG |  -  | Adding type registration java.lang.String -> org.hibernate.type.StringType@2475fba3 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.852| main | DEBUG |  -  | Adding type registration nstring -> org.hibernate.type.StringNVarcharType@2864f887 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.855| main | DEBUG |  -  | Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@41bb1f09 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.860| main | DEBUG |  -  | Adding type registration url -> org.hibernate.type.UrlType@5a4c98d7 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.860| main | DEBUG |  -  | Adding type registration java.net.URL -> org.hibernate.type.UrlType@5a4c98d7 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.862| main | DEBUG |  -  | Adding type registration Duration -> org.hibernate.type.DurationType@4fbb1144 | [org.hibernate.type.BasicTypeRegistry:156]
2019-12-06 09:42:54.863| main | DEBUG |  -  | Adding type registration java.time.Duration -> org.hibernate.type.DurationType@4fbb1144 | [org.hibernate.type.BasicTypeRegistry:156]
